feature,importance
d_bb_pct,16465.353614211082
d_volume_ma_ratio_30,11697.82546710968
d_eth_rsi_14,9729.131735563278
d_volatility_7d,8448.266148686409
d_volume_ma_ratio_7,7413.7530916929245
volatility_24h,6786.39465379715
d_btc_eth_corr_30d,5540.185106992722
d_volatility_30d,4832.4659876823425
btc_eth_corr_24h,4570.039835810661
btc_eth_ratio,4564.850755572319
d_price_vs_sma200,4379.175574660301
macd,4251.853062748909
volume_change,4233.53192615509
rsi_14,3819.5779107809067
d_rsi_14,3740.4991265535355
bb_width,3714.778693318367
volatility_6h,3509.2990065813065
atr_14,3388.93978369236
volume_ma_ratio,3214.966338276863
d_eth_return_30d,3050.8179755210876
eth_volatility_6h,2941.8818970918655
d_sma_90,2902.11558675766
d_return_30d,2828.3663744926453
d_macd_diff,2790.6404460668564
close_lag_1,2687.669535636902
macd_diff,2655.511941552162
d_sma_200,2552.1265362501144
eth_rsi_14,2535.427625656128
stoch_d,2395.1861802339554
stoch_k,2389.6014615297318
d_rsi_21,2277.631759405136
eth_return_6h,2215.659772872925
bb_pct,2155.5910968780518
macd_signal,2147.2654225826263
momentum_12h,2018.5644565820694
d_sma_30,1999.8294579982758
d_return_7d,1932.2968394756317
return_lag_6,1931.9627915620804
momentum_6h,1912.8758381605148
d_eth_return_7d,1912.7406160831451
return_3h,1902.339272737503
close_lag_24,1884.096246957779
return_6h,1847.9863580465317
d_price_vs_sma50,1764.1561218500137
d_return_90d,1747.077111005783
d_sma_7,1676.0046907663345
close_lag_12,1626.58622777462
return_lag_3,1405.694815993309
return_lag_12,1249.5879989862442
return_lag_24,1181.674919962883
close_lag_2,1118.7225323915482
ema_cross,1110.2621048688889
return_lag_1,1066.5160583853722
return_lag_2,955.0003110170364
close_lag_3,948.590265750885
eth_return_1h,886.9668279886246
close_lag_6,886.7224467992783
return_1h,843.9234199523926
log_return_1h,485.38065230846405
d_bull_regime,231.396870136261
